date,bitcoin_var,dow_var,euro_stoxx50_var,nasdaq_var,nikkei_var,oro_var,petroleo_var,shangai_stock_exchange_var,sp_500_var
2020-10-04,-5.84,2.54,1.12,-0.69,0.28,0.34,0.06,-0.3,0.29
2020-09-04,-0.98,-0.06,0.67,-0.03,0.35,0.06,0.8,-0.29,-0.11
2020-08-04,2.45,-0.26,0.51,-0.56,0.78,0.27,0.13,0.3,-0.32
2020-07-04,-2.01,0.09,0.43,0.54,0.32,2.41,0.97,0.6,0.91
2020-06-04,8.26,2.35,-0.01,-0.51,-0.48,-1.73,0.13,-0.88,0.15
2020-05-04,-1.23,-0.54,-0.55,0.7,-0.62,1.06,-1.27,-0.29,0.63
2020-04-04,1.8,0.89,1.21,0.02,-0.53,0.53,0.48,-1.16,-0.66
2020-03-04,-0.95,-2.52,-0.32,-0.32,0.49,-0.24,-0.02,-2.55,-0.86
2020-02-04,2.44,-0.39,1.36,0.53,0.7,0.38,1.21,0.86,-0.4
2020-01-04,3.52,-1.68,-0.43,-0.55,-0.76,-0.17,0.23,-0.57,0.42
2020-03-31,0.34,-1.97,-2.08,0.18,-0.85,0.01,1.5,0.0,0.22
2020-03-30,8.5,0.31,-0.02,0.26,0.81,-0.01,0.71,0.0,0.75
2020-03-29,-5.51,1.85,-0.23,-0.35,-0.26,0.63,-0.81,0.0,0.22
2020-03-28,-2.19,0.59,0.2,-0.91,0.26,-0.17,0.37,-1.68,-0.16
2020-03-27,-5.23,2.3,-0.06,0.6,0.11,0.46,-0.3,-0.56,-0.38
2020-03-26,0.69,-1.35,0.55,0.45,0.22,0.23,1.32,0.0,-0.06
2020-03-25,-0.97,-1.71,0.21,0.97,1.76,-0.01,0.0,-0.28,0.05
2020-03-24,4.26,-0.98,-0.11,0.32,-0.33,-1.17,4.15,0.56,0.77
2020-03-23,11.11,1.69,-0.34,-0.01,0.37,0.2,0.25,0.56,0.08
2020-03-22,-5.89,0.54,-0.23,0.8,-0.57,-0.27,1.43,1.42,0.07
2020-03-21,-0.31,-2.72,-0.18,-0.08,0.47,1.04,-5.01,0.0,0.16
2020-03-20,0.54,-1.16,0.62,1.86,0.3,-0.23,-0.05,-0.56,-0.2
2020-03-19,15.12,-0.32,-0.29,0.13,0.22,2.35,-0.51,-0.56,0.26
